chapter,md_file,slide_id,slide_title,need_image,candidate_rank,download_status,local_path,relative_path,file_name,file_ext,file_size_bytes,width_px,height_px,sha256,source_page_url,direct_image_url,source_title,source_author,source_license,attribution_text,search_query_used,image_role,image_type,caption_zh,layout_hint,duplicate_of,quality_notes
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,1,第4章 机器学习与材料性能预测,yes,1,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch04\text1_loose\ch04_s001_r1_machine-learning-workflow-feature-engineerin.jpg,assets/downloaded/ch04/text1_loose/ch04_s001_r1_machine-learning-workflow-feature-engineerin.jpg,ch04_s001_r1_machine-learning-workflow-feature-engineerin.jpg,.jpg,71478,1600,898,e551115959f0fb3397a37a03c8b5a626ad0936c08971c512f76148bdc88a4e62,https://www.bing.com/images/search?q=machine+learning+workflow+feature+engineering+model+training+evaluation+diagram+machine+learning+materials+property+prediction+workflow+%E7%AC%AC4%E7%AB%A0+%E6%9C%BA%E5%99%A8%E5%AD%A6%E4%B9%A0%E4%B8%8E%E6%9D%90%E6%96%99%E6%80%A7%E8%83%BD%E9%A2%84%E6%B5%8B,https://tse1.mm.bing.net/th?q=machine+learning+workflow+feature+engineering+model+training+evaluation+diagram+machine+learning+materials+property+prediction+workflow+%E7%AC%AC4%E7%AB%A0+%E6%9C%BA%E5%99%A8%E5%AD%A6%E4%B9%A0%E4%B8%8E%E6%9D%90%E6%96%99%E6%80%A7%E8%83%BD%E9%A2%84%E6%B5%8B&w=1600&h=900&c=7&rs=1&p=0,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow 第4章 机器学习与材料性能预测,unknown,unknown; copyright risk not checked,来源不明或版权未核验，需人工复核后再用于正式课件。,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,算法流程,flowchart,第4章 机器学习与材料性能预测的教学示意图,底部横向流程图,,loose mode; source and copyright not verified; opened successfully
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,4,本章为什么重要,yes,1,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch04\text1_loose\ch04_s004_r1_materials-microstructure-recognition-microsc.jpg,assets/downloaded/ch04/text1_loose/ch04_s004_r1_materials-microstructure-recognition-microsc.jpg,ch04_s004_r1_materials-microstructure-recognition-microsc.jpg,.jpg,103395,1598,900,fa5833181651490b9f808d12c948fefe9020be7ca6661ce1e646c339f574726f,https://www.bing.com/images/search?q=materials+microstructure+recognition+microscopy+image+machine+learning+materials+property+prediction+workflow+%E6%9C%AC%E7%AB%A0%E4%B8%BA%E4%BB%80%E4%B9%88%E9%87%8D%E8%A6%81,https://tse1.mm.bing.net/th?q=materials+microstructure+recognition+microscopy+image+machine+learning+materials+property+prediction+workflow+%E6%9C%AC%E7%AB%A0%E4%B8%BA%E4%BB%80%E4%B9%88%E9%87%8D%E8%A6%81&w=1600&h=900&c=7&rs=1&p=0,materials microstructure recognition microscopy image machine learning materials property prediction workflow 本章为什么重要,unknown,unknown; copyright risk not checked,来源不明或版权未核验，需人工复核后再用于正式课件。,materials microstructure recognition microscopy image machine learning materials property prediction workflow,材料组织,microscopy,本章为什么重要的教学示意图,右侧 40% 宽度,,loose mode; source and copyright not verified; opened successfully
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,5,4.1 机器学习基本概念与建模流程 △,yes,1,reused_duplicate,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch01\text1_loose\ch01_s040_r1_machine-learning-workflow-feature-engineerin.jpg,assets/downloaded/ch01/text1_loose/ch01_s040_r1_machine-learning-workflow-feature-engineerin.jpg,ch01_s040_r1_machine-learning-workflow-feature-engineerin.jpg,.jpg,68628,,,d0ad6fefd212d727cd015a078c3512d662a9a3f2493678fb6f496d566ec41e18,https://www.bing.com/images/search?q=machine+learning+materials+property+prediction+workflow+4.1+%E6%9C%BA%E5%99%A8%E5%AD%A6%E4%B9%A0%E5%9F%BA%E6%9C%AC%E6%A6%82%E5%BF%B5%E4%B8%8E%E5%BB%BA%E6%A8%A1%E6%B5%81%E7%A8%8B+%E2%96%B3+concept+diagram+open+educational+resource+4.1+%E6%9C%BA%E5%99%A8%E5%AD%A6%E4%B9%A0%E5%9F%BA%E6%9C%AC%E6%A6%82%E5%BF%B5%E4%B8%8E%E5%BB%BA%E6%A8%A1%E6%B5%81%E7%A8%8B+%E2%96%B3,https://tse1.mm.bing.net/th?q=machine+learning+materials+property+prediction+workflow+4.1+%E6%9C%BA%E5%99%A8%E5%AD%A6%E4%B9%A0%E5%9F%BA%E6%9C%AC%E6%A6%82%E5%BF%B5%E4%B8%8E%E5%BB%BA%E6%A8%A1%E6%B5%81%E7%A8%8B+%E2%96%B3+concept+diagram+open+educational+resource+4.1+%E6%9C%BA%E5%99%A8%E5%AD%A6%E4%B9%A0%E5%9F%BA%E6%9C%AC%E6%A6%82%E5%BF%B5%E4%B8%8E%E5%BB%BA%E6%A8%A1%E6%B5%81%E7%A8%8B+%E2%96%B3&w=1600&h=900&c=7&rs=1&p=0,machine learning materials property prediction workflow 4.1 机器学习基本概念与建模流程 △ concept diagram open educational resource 4.1 机器学习基本概念与建模流程 △,unknown,unknown; copyright risk not checked,来源不明或版权未核验，需人工复核后再用于正式课件。,machine learning materials property prediction workflow 4.1 机器学习基本概念与建模流程 △ concept diagram open educational resource,概念示意,schematic,4.1 机器学习基本概念与建模流程 △的教学示意图,右侧 35% 宽度,assets/downloaded/ch01/text1_loose/ch01_s040_r1_machine-learning-workflow-feature-engineerin.jpg,loose mode; duplicate by SHA256; source and copyright not verified
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,6,4.1.1 什么是机器学习,yes,1,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch04\text1_loose\ch04_s006_r1_machine-learning-materials-property-predicti.jpg,assets/downloaded/ch04/text1_loose/ch04_s006_r1_machine-learning-materials-property-predicti.jpg,ch04_s006_r1_machine-learning-materials-property-predicti.jpg,.jpg,83672,1598,900,ad247ad576e96ec8f9198f605c968378ac023272c9c99f0c32cfd68860c6fd74,https://www.bing.com/images/search?q=machine+learning+materials+property+prediction+workflow+4.1.1+%E4%BB%80%E4%B9%88%E6%98%AF%E6%9C%BA%E5%99%A8%E5%AD%A6%E4%B9%A0+concept+diagram+open+educational+resource+4.1.1+%E4%BB%80%E4%B9%88%E6%98%AF%E6%9C%BA%E5%99%A8%E5%AD%A6%E4%B9%A0,https://tse1.mm.bing.net/th?q=machine+learning+materials+property+prediction+workflow+4.1.1+%E4%BB%80%E4%B9%88%E6%98%AF%E6%9C%BA%E5%99%A8%E5%AD%A6%E4%B9%A0+concept+diagram+open+educational+resource+4.1.1+%E4%BB%80%E4%B9%88%E6%98%AF%E6%9C%BA%E5%99%A8%E5%AD%A6%E4%B9%A0&w=1600&h=900&c=7&rs=1&p=0,machine learning materials property prediction workflow 4.1.1 什么是机器学习 concept diagram open educational resource 4.1.1 什么是机器学习,unknown,unknown; copyright risk not checked,来源不明或版权未核验，需人工复核后再用于正式课件。,machine learning materials property prediction workflow 4.1.1 什么是机器学习 concept diagram open educational resource,概念示意,schematic,4.1.1 什么是机器学习的教学示意图,右侧 35% 宽度,,loose mode; source and copyright not verified; opened successfully
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,7,4.1.2 从函数映射理解机器学习,yes,1,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch04\text1_loose\ch04_s007_r1_machine-learning-materials-property-predicti.jpg,assets/downloaded/ch04/text1_loose/ch04_s007_r1_machine-learning-materials-property-predicti.jpg,ch04_s007_r1_machine-learning-materials-property-predicti.jpg,.jpg,100275,1600,900,a543ad5f9581438f1840c8faa59b401a1992b968c7bbeeace9a5b647023037da,https://www.bing.com/images/search?q=machine+learning+materials+property+prediction+workflow+4.1.2+%E4%BB%8E%E5%87%BD%E6%95%B0%E6%98%A0%E5%B0%84%E7%90%86%E8%A7%A3%E6%9C%BA%E5%99%A8%E5%AD%A6%E4%B9%A0+concept+diagram+open+educational+resource+4.1.2+%E4%BB%8E%E5%87%BD%E6%95%B0%E6%98%A0%E5%B0%84%E7%90%86%E8%A7%A3%E6%9C%BA%E5%99%A8%E5%AD%A6%E4%B9%A0,https://tse1.mm.bing.net/th?q=machine+learning+materials+property+prediction+workflow+4.1.2+%E4%BB%8E%E5%87%BD%E6%95%B0%E6%98%A0%E5%B0%84%E7%90%86%E8%A7%A3%E6%9C%BA%E5%99%A8%E5%AD%A6%E4%B9%A0+concept+diagram+open+educational+resource+4.1.2+%E4%BB%8E%E5%87%BD%E6%95%B0%E6%98%A0%E5%B0%84%E7%90%86%E8%A7%A3%E6%9C%BA%E5%99%A8%E5%AD%A6%E4%B9%A0&w=1600&h=900&c=7&rs=1&p=0,machine learning materials property prediction workflow 4.1.2 从函数映射理解机器学习 concept diagram open educational resource 4.1.2 从函数映射理解机器学习,unknown,unknown; copyright risk not checked,来源不明或版权未核验，需人工复核后再用于正式课件。,machine learning materials property prediction workflow 4.1.2 从函数映射理解机器学习 concept diagram open educational resource,概念示意,schematic,4.1.2 从函数映射理解机器学习的教学示意图,右侧 35% 宽度,,loose mode; source and copyright not verified; opened successfully
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,9,4.1.4 材料机器学习的输入与输出,yes,1,reused_duplicate,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch04\text1_loose\ch04_s001_r1_machine-learning-workflow-feature-engineerin.jpg,assets/downloaded/ch04/text1_loose/ch04_s001_r1_machine-learning-workflow-feature-engineerin.jpg,ch04_s001_r1_machine-learning-workflow-feature-engineerin.jpg,.jpg,71478,,,e551115959f0fb3397a37a03c8b5a626ad0936c08971c512f76148bdc88a4e62,https://www.bing.com/images/search?q=machine+learning+workflow+feature+engineering+model+training+evaluation+diagram+machine+learning+materials+property+prediction+workflow+4.1.4+%E6%9D%90%E6%96%99%E6%9C%BA%E5%99%A8%E5%AD%A6%E4%B9%A0%E7%9A%84%E8%BE%93%E5%85%A5%E4%B8%8E%E8%BE%93%E5%87%BA,https://tse1.mm.bing.net/th?q=machine+learning+workflow+feature+engineering+model+training+evaluation+diagram+machine+learning+materials+property+prediction+workflow+4.1.4+%E6%9D%90%E6%96%99%E6%9C%BA%E5%99%A8%E5%AD%A6%E4%B9%A0%E7%9A%84%E8%BE%93%E5%85%A5%E4%B8%8E%E8%BE%93%E5%87%BA&w=1600&h=900&c=7&rs=1&p=0,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow 4.1.4 材料机器学习的输入与输出,unknown,unknown; copyright risk not checked,来源不明或版权未核验，需人工复核后再用于正式课件。,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,算法流程,flowchart,4.1.4 材料机器学习的输入与输出的教学示意图,底部横向流程图,assets/downloaded/ch04/text1_loose/ch04_s001_r1_machine-learning-workflow-feature-engineerin.jpg,loose mode; duplicate by SHA256; source and copyright not verified
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,10,4.1.5 三类基本学习任务,yes,1,reused_duplicate,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch01\text1_loose\ch01_s040_r1_machine-learning-workflow-feature-engineerin.jpg,assets/downloaded/ch01/text1_loose/ch01_s040_r1_machine-learning-workflow-feature-engineerin.jpg,ch01_s040_r1_machine-learning-workflow-feature-engineerin.jpg,.jpg,68628,,,d0ad6fefd212d727cd015a078c3512d662a9a3f2493678fb6f496d566ec41e18,https://www.bing.com/images/search?q=machine+learning+workflow+feature+engineering+model+training+evaluation+diagram+machine+learning+materials+property+prediction+workflow+4.1.5+%E4%B8%89%E7%B1%BB%E5%9F%BA%E6%9C%AC%E5%AD%A6%E4%B9%A0%E4%BB%BB%E5%8A%A1,https://tse1.mm.bing.net/th?q=machine+learning+workflow+feature+engineering+model+training+evaluation+diagram+machine+learning+materials+property+prediction+workflow+4.1.5+%E4%B8%89%E7%B1%BB%E5%9F%BA%E6%9C%AC%E5%AD%A6%E4%B9%A0%E4%BB%BB%E5%8A%A1&w=1600&h=900&c=7&rs=1&p=0,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow 4.1.5 三类基本学习任务,unknown,unknown; copyright risk not checked,来源不明或版权未核验，需人工复核后再用于正式课件。,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,算法流程,flowchart,4.1.5 三类基本学习任务的教学示意图,底部横向流程图,assets/downloaded/ch01/text1_loose/ch01_s040_r1_machine-learning-workflow-feature-engineerin.jpg,loose mode; duplicate by SHA256; source and copyright not verified
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,11,4.1.6 回归任务示例,yes,1,reused_duplicate,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch01\text1_loose\ch01_s023_r1_machine-learning-workflow-feature-engineerin.jpg,assets/downloaded/ch01/text1_loose/ch01_s023_r1_machine-learning-workflow-feature-engineerin.jpg,ch01_s023_r1_machine-learning-workflow-feature-engineerin.jpg,.jpg,70871,,,3b5c20a1df33cf44172c5ee07bac114e322b7f259532c3668f3a04a599772118,https://www.bing.com/images/search?q=machine+learning+workflow+feature+engineering+model+training+evaluation+diagram+machine+learning+materials+property+prediction+workflow+4.1.6+%E5%9B%9E%E5%BD%92%E4%BB%BB%E5%8A%A1%E7%A4%BA%E4%BE%8B,https://tse1.mm.bing.net/th?q=machine+learning+workflow+feature+engineering+model+training+evaluation+diagram+machine+learning+materials+property+prediction+workflow+4.1.6+%E5%9B%9E%E5%BD%92%E4%BB%BB%E5%8A%A1%E7%A4%BA%E4%BE%8B&w=1600&h=900&c=7&rs=1&p=0,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow 4.1.6 回归任务示例,unknown,unknown; copyright risk not checked,来源不明或版权未核验，需人工复核后再用于正式课件。,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,算法流程,flowchart,4.1.6 回归任务示例的教学示意图,底部横向流程图,assets/downloaded/ch01/text1_loose/ch01_s023_r1_machine-learning-workflow-feature-engineerin.jpg,loose mode; duplicate by SHA256; source and copyright not verified
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,12,4.1.7 分类任务示例,yes,1,reused_duplicate,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch01\text1_loose\ch01_s023_r1_machine-learning-workflow-feature-engineerin.jpg,assets/downloaded/ch01/text1_loose/ch01_s023_r1_machine-learning-workflow-feature-engineerin.jpg,ch01_s023_r1_machine-learning-workflow-feature-engineerin.jpg,.jpg,70871,,,3b5c20a1df33cf44172c5ee07bac114e322b7f259532c3668f3a04a599772118,https://www.bing.com/images/search?q=machine+learning+workflow+feature+engineering+model+training+evaluation+diagram+machine+learning+materials+property+prediction+workflow+4.1.7+%E5%88%86%E7%B1%BB%E4%BB%BB%E5%8A%A1%E7%A4%BA%E4%BE%8B,https://tse1.mm.bing.net/th?q=machine+learning+workflow+feature+engineering+model+training+evaluation+diagram+machine+learning+materials+property+prediction+workflow+4.1.7+%E5%88%86%E7%B1%BB%E4%BB%BB%E5%8A%A1%E7%A4%BA%E4%BE%8B&w=1600&h=900&c=7&rs=1&p=0,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow 4.1.7 分类任务示例,unknown,unknown; copyright risk not checked,来源不明或版权未核验，需人工复核后再用于正式课件。,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,算法流程,flowchart,4.1.7 分类任务示例的教学示意图,底部横向流程图,assets/downloaded/ch01/text1_loose/ch01_s023_r1_machine-learning-workflow-feature-engineerin.jpg,loose mode; duplicate by SHA256; source and copyright not verified
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,13,4.1.8 无监督任务示例,yes,1,reused_duplicate,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch01\text1_loose\ch01_s040_r1_machine-learning-workflow-feature-engineerin.jpg,assets/downloaded/ch01/text1_loose/ch01_s040_r1_machine-learning-workflow-feature-engineerin.jpg,ch01_s040_r1_machine-learning-workflow-feature-engineerin.jpg,.jpg,68628,,,d0ad6fefd212d727cd015a078c3512d662a9a3f2493678fb6f496d566ec41e18,https://www.bing.com/images/search?q=machine+learning+workflow+feature+engineering+model+training+evaluation+diagram+machine+learning+materials+property+prediction+workflow+4.1.8+%E6%97%A0%E7%9B%91%E7%9D%A3%E4%BB%BB%E5%8A%A1%E7%A4%BA%E4%BE%8B,https://tse1.mm.bing.net/th?q=machine+learning+workflow+feature+engineering+model+training+evaluation+diagram+machine+learning+materials+property+prediction+workflow+4.1.8+%E6%97%A0%E7%9B%91%E7%9D%A3%E4%BB%BB%E5%8A%A1%E7%A4%BA%E4%BE%8B&w=1600&h=900&c=7&rs=1&p=0,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow 4.1.8 无监督任务示例,unknown,unknown; copyright risk not checked,来源不明或版权未核验，需人工复核后再用于正式课件。,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,算法流程,flowchart,4.1.8 无监督任务示例的教学示意图,底部横向流程图,assets/downloaded/ch01/text1_loose/ch01_s040_r1_machine-learning-workflow-feature-engineerin.jpg,loose mode; duplicate by SHA256; source and copyright not verified
