chapter,md_file,slide_id,slide_title,need_image,image_priority,image_role,image_type,concept_keywords_zh,concept_keywords_en,search_query_zh,search_query_en,preferred_source_type,avoid_source_type,license_requirement,suggested_caption_zh,insertion_position,layout_hint,reason,existing_image_detected,notes
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,1,第4章 机器学习与材料性能预测,yes,high,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 第4章 机器学习与材料性能预测,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,第4章 机器学习与材料性能预测的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：回归；分类。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,2,目录,no,none,,,,,,,,,,,none,不建议插图,封面、目录、过渡或总结类页面通常以文字结构为主，避免装饰性配图。,no,可人工判断是否需要主题图。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,3,本章学习目标,no,none,,,,,,,,,,,none,不建议插图,封面、目录、过渡或总结类页面通常以文字结构为主，避免装饰性配图。,no,可人工判断是否需要主题图。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,4,本章为什么重要,yes,medium,材料组织,microscopy,显微组织；晶粒；组织识别；金相；机器学习 材料性能预测,microstructure; SEM; EBSD; machine learning materials property prediction workflow,材料显微组织识别 图像 本章为什么重要,materials microstructure recognition microscopy image machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,本章为什么重要的教学示意图,right,右侧 40% 宽度,本页涉及材料组织相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：显微组织。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,5,4.1 机器学习基本概念与建模流程 △,yes,low,概念示意,schematic,4.1 机器学习基本概念与建模流程 △；机器学习 材料性能预测,machine learning materials property prediction workflow; concept diagram,机器学习 材料性能预测 4.1 机器学习基本概念与建模流程 △ 教学示意图,machine learning materials property prediction workflow 4.1 机器学习基本概念与建模流程 △ concept diagram open educational resource,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.1 机器学习基本概念与建模流程 △的教学示意图,right,右侧 35% 宽度,本页包含较抽象的框架、流程或应用关系，可用简洁示意图辅助讲解。,no,低优先级，建议人工审核是否确有必要。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,6,4.1.1 什么是机器学习,yes,low,概念示意,schematic,4.1.1 什么是机器学习；机器学习 材料性能预测,machine learning materials property prediction workflow; concept diagram,机器学习 材料性能预测 4.1.1 什么是机器学习 教学示意图,machine learning materials property prediction workflow 4.1.1 什么是机器学习 concept diagram open educational resource,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.1.1 什么是机器学习的教学示意图,right,右侧 35% 宽度,本页包含较抽象的框架、流程或应用关系，可用简洁示意图辅助讲解。,no,低优先级，建议人工审核是否确有必要。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,7,4.1.2 从函数映射理解机器学习,yes,low,概念示意,schematic,4.1.2 从函数映射理解机器学习；机器学习 材料性能预测,machine learning materials property prediction workflow; concept diagram,机器学习 材料性能预测 4.1.2 从函数映射理解机器学习 教学示意图,machine learning materials property prediction workflow 4.1.2 从函数映射理解机器学习 concept diagram open educational resource,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.1.2 从函数映射理解机器学习的教学示意图,right,右侧 35% 宽度,本页包含较抽象的框架、流程或应用关系，可用简洁示意图辅助讲解。,no,低优先级，建议人工审核是否确有必要。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,8,4.1.3 数据集的数学表示,no,none,,,,,,,,,,,none,不建议插图,本页文字信息已能支撑讲解，或页面内容较密，插图可能降低可读性。,no,
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,9,4.1.4 材料机器学习的输入与输出,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.1.4 材料机器学习的输入与输出,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.1.4 材料机器学习的输入与输出的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：随机森林。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,10,4.1.5 三类基本学习任务,yes,high,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.1.5 三类基本学习任务,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.1.5 三类基本学习任务的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：监督学习；回归；分类；聚类。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,11,4.1.6 回归任务示例,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.1.6 回归任务示例,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.1.6 回归任务示例的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：回归。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,12,4.1.7 分类任务示例,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.1.7 分类任务示例,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.1.7 分类任务示例的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：分类。
ch04,第4章_机器学习与材料性能预测_100页_Marp.md,13,4.1.8 无监督任务示例,yes,medium,算法流程,flowchart,监督学习；回归；分类；聚类；模型训练；模型评估；特征工程；交叉验证；过拟合；欠拟合；随机森林；机器学习 材料性能预测,SVM; KNN; machine learning materials property prediction workflow,机器学习流程 特征工程 模型训练 评估 示意图 4.1.8 无监督任务示例,machine learning workflow feature engineering model training evaluation diagram machine learning materials property prediction workflow,official documentation; open educational resource; open access paper; Wikimedia Commons; university course material; government/lab source,AI-generated image; stock photo; watermark image; commercial copyrighted slide; low-resolution blog image,prefer CC BY/CC BY-SA/public domain/official reusable image; record attribution,4.1.8 无监督任务示例的教学示意图,bottom,底部横向流程图,本页涉及机器学习相关概念，配图有助于把抽象关系转化为可视化教学对象。,no,关键词命中：监督学习。
