chapter,md_file,slide_id,slide_title,need_image,candidate_rank,download_status,local_path,relative_path,file_name,file_ext,file_size_bytes,width_px,height_px,sha256,source_page_url,direct_image_url,source_title,source_author,source_license,attribution_text,search_query_used,image_role,image_type,caption_zh,layout_hint,duplicate_of,quality_notes
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,1,第1章人工智能、大数据与材料科学概论,yes,1,not_found,,,,,,,,,,,,,,,AI big data materials science overview 第1章人工智能、大数据与材料科学概论 concept diagram open educational resource | 人工智能与大数据材料科学概论 第1章人工智能、大数据与材料科学概论 教学示意图 | AI big data materials science overview concept diagram diagram,概念示意,schematic,第1章人工智能、大数据与材料科学概论的教学示意图,右侧 35% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,5,课堂导入：一个材料研发问题,yes,1,not_found,,,,,,,,,,,,,,,AI big data materials science overview 课堂导入：一个材料研发问题 concept diagram open educational resource | 人工智能与大数据材料科学概论 课堂导入：一个材料研发问题 教学示意图 | AI big data materials science overview concept diagram diagram,概念示意,schematic,课堂导入：一个材料研发问题的教学示意图,右侧 35% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,6,从材料问题到 AI 问题,yes,1,not_found,,,,,,,,,,,,,,,AI big data materials science overview 从材料问题到 AI 问题 concept diagram open educational resource | 人工智能与大数据材料科学概论 从材料问题到 AI 问题 教学示意图 | AI big data materials science overview concept diagram diagram,概念示意,schematic,从材料问题到 AI 问题的教学示意图,右侧 35% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,7,本章关键概念关系,yes,1,not_found,,,,,,,,,,,,,,,materials informatics CALPHAD phase diagram high-throughput materials design AI big data materials science overview | 材料信息学 CALPHAD 相图 高通量材料设计 本章关键概念关系 | CALPHAD Materials Project phase-field phase diagram DFT diagram,模拟结果,simulation,本章关键概念关系的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,8,1.1 人工智能的概念、发展与主要学派,yes,1,not_found,,,,,,,,,,,,,,,neural network architecture Transformer attention mechanism CNN diagram AI big data materials science overview | 神经网络 Transformer 注意力机制 CNN 架构图 1.1 人工智能的概念、发展与主要学派 | CNN RNN Transformer embedding AI big data materials science overview diagram,算法流程,algorithm_diagram,1.1 人工智能的概念、发展与主要学派的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,10,从人类智能到机器智能,yes,1,not_found,,,,,,,,,,,,,,,AI big data materials science overview 从人类智能到机器智能 concept diagram open educational resource | 人工智能与大数据材料科学概论 从人类智能到机器智能 教学示意图 | AI big data materials science overview concept diagram diagram,概念示意,schematic,从人类智能到机器智能的教学示意图,右侧 35% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,11,人工智能的基本定义,yes,1,not_found,,,,,,,,,,,,,,,AI big data materials science overview 人工智能的基本定义 concept diagram open educational resource | 人工智能与大数据材料科学概论 人工智能的基本定义 教学示意图 | AI big data materials science overview concept diagram diagram,概念示意,schematic,人工智能的基本定义的教学示意图,右侧 35% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,12,AI 不是单一技术,yes,1,not_found,,,,,,,,,,,,,,,neural network architecture Transformer attention mechanism CNN diagram AI big data materials science overview | 神经网络 Transformer 注意力机制 CNN 架构图 AI 不是单一技术 | CNN RNN Transformer embedding AI big data materials science overview diagram,算法流程,algorithm_diagram,AI 不是单一技术的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,13,弱人工智能、强人工智能与超人工智能,yes,1,not_found,,,,,,,,,,,,,,,AI big data materials science overview 弱人工智能、强人工智能与超人工智能 concept diagram open educational resource | 人工智能与大数据材料科学概论 弱人工智能、强人工智能与超人工智能 教学示意图 | AI big data materials science overview concept diagram diagram,概念示意,schematic,弱人工智能、强人工智能与超人工智能的教学示意图,右侧 35% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch01,第1章_人工智能大数据与材料科学概论_100页_Marp.md,15,人工智能发展简史：孕育阶段,yes,1,not_found,,,,,,,,,,,,,,,Bayes theorem diagram probability prior posterior likelihood AI big data materials science overview | 贝叶斯定理 先验 后验 概率图示 人工智能发展简史：孕育阶段 | Bayes AI big data materials science overview diagram,算法流程,algorithm_diagram,人工智能发展简史：孕育阶段的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
