chapter,md_file,slide_id,slide_title,need_image,candidate_rank,download_status,local_path,relative_path,file_name,file_ext,file_size_bytes,width_px,height_px,sha256,source_page_url,direct_image_url,source_title,source_author,source_license,attribution_text,search_query_used,image_role,image_type,caption_zh,layout_hint,duplicate_of,quality_notes
ch10,第10章_可信AI数据安全与综合应用_100页_Marp.md,1,第10章 可信AI、数据安全与综合应用,yes,2,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch10\text1_expanded\ch10_s001_r1_trustworthy-data-security-privacy-explainabl.jpg,assets/downloaded/ch10/text1_expanded/ch10_s001_r1_trustworthy-data-security-privacy-explainabl.jpg,ch10_s001_r1_trustworthy-data-security-privacy-explainabl.jpg,.jpg,61946,1197,800,16d48e7abe231196096de88132f86b6072dab9c692a368f09be942c136fd41bf,https://www.bing.com/images/search?q=trustworthy+AI+data+security+privacy+explainable+AI+data+security+privacy+compliance+diagram,https://tse1.mm.bing.net/th?q=trustworthy+AI+data+security+privacy+explainable+AI+data+security+privacy+compliance+diagram&w=1200&h=800&c=7&rs=1&p=0,trustworthy AI data security privacy explainable AI data security privacy compliance diagram,unknown,unknown; copyright risk not checked,Bing thumbnail fallback; 来源和版权未核验，需人工复核后再用于正式课件。,trustworthy AI data security privacy explainable AI data security privacy compliance diagram,安全合规案例,schematic,第10章 可信AI、数据安全与综合应用的教学示意图,右侧 40% 宽度,,expanded loose mode; source and copyright not verified; opened successfully
ch10,第10章_可信AI数据安全与综合应用_100页_Marp.md,4,本章知识地图,yes,3,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch10\text1_expanded\ch10_s004_r1_trustworthy-data-security-privacy-fairness-e.jpg,assets/downloaded/ch10/text1_expanded/ch10_s004_r1_trustworthy-data-security-privacy-fairness-e.jpg,ch10_s004_r1_trustworthy-data-security-privacy-fairness-e.jpg,.jpg,34734,1000,698,570f8621dac75c258b1ee166ee674aee831df2dddb597b70e32bc055c0206ff9,https://www.bing.com/images/search?q=trustworthy+data+security+privacy+fairness+explainability+trustworthy+AI+data+security+privacy+explainable+AI+schematic+diagram,https://tse1.mm.bing.net/th?q=trustworthy+data+security+privacy+fairness+explainability+trustworthy+AI+data+security+privacy+explainable+AI+schematic+diagram&w=1000&h=700&c=7&rs=1&p=0,trustworthy data security privacy fairness explainability trustworthy AI data security privacy explainable AI schematic diagram,unknown,unknown; copyright risk not checked,Bing thumbnail fallback; 来源和版权未核验，需人工复核后再用于正式课件。,trustworthy data security privacy fairness explainability trustworthy AI data security privacy explainable AI schematic diagram,安全合规案例,schematic,本章知识地图的教学示意图,右侧 40% 宽度,,expanded loose mode; source and copyright not verified; opened successfully
ch10,第10章_可信AI数据安全与综合应用_100页_Marp.md,5,为什么最后要讲可信AI？,yes,2,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch10\text1_expanded\ch10_s005_r1_trustworthy-data-security-privacy-explainabl.jpg,assets/downloaded/ch10/text1_expanded/ch10_s005_r1_trustworthy-data-security-privacy-explainabl.jpg,ch10_s005_r1_trustworthy-data-security-privacy-explainabl.jpg,.jpg,79082,1200,800,135b04d81dde35f34bb9febd68a06363b88833c252ef4ed98e1e9b4bee3912a2,https://www.bing.com/images/search?q=trustworthy+AI+data+security+privacy+explainable+AI+concept+illustration+diagram,https://tse1.mm.bing.net/th?q=trustworthy+AI+data+security+privacy+explainable+AI+concept+illustration+diagram&w=1200&h=800&c=7&rs=1&p=0,trustworthy AI data security privacy explainable AI concept illustration diagram,unknown,unknown; copyright risk not checked,Bing thumbnail fallback; 来源和版权未核验，需人工复核后再用于正式课件。,trustworthy AI data security privacy explainable AI concept illustration diagram,概念示意,algorithm_diagram,为什么最后要讲可信AI？的教学示意图,右侧 40% 宽度,,expanded loose mode; source and copyright not verified; opened successfully
ch10,第10章_可信AI数据安全与综合应用_100页_Marp.md,6,从性能指标到可信指标,yes,8,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch10\text1_expanded\ch10_s006_r1_trustworthy-data-security-privacy-fairness-e.jpg,assets/downloaded/ch10/text1_expanded/ch10_s006_r1_trustworthy-data-security-privacy-fairness-e.jpg,ch10_s006_r1_trustworthy-data-security-privacy-fairness-e.jpg,.jpg,63352,1600,900,4c337bbe401f0aba3de5db643b9e63f220a0c373f01d9a855771a35b7e018950,https://www.bing.com/images/search?q=trustworthy+data+security+privacy+fairness+explainability+scientific+visualization,https://tse1.mm.bing.net/th?q=trustworthy+data+security+privacy+fairness+explainability+scientific+visualization&w=1600&h=900&c=7&rs=1&p=0,trustworthy data security privacy fairness explainability scientific visualization,unknown,unknown; copyright risk not checked,Bing thumbnail fallback; 来源和版权未核验，需人工复核后再用于正式课件。,trustworthy data security privacy fairness explainability scientific visualization,安全合规案例,schematic,从性能指标到可信指标的教学示意图,右侧 40% 宽度,,expanded loose mode; source and copyright not verified; opened successfully
ch10,第10章_可信AI数据安全与综合应用_100页_Marp.md,7,本章案例贯穿对象,yes,5,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch10\text1_expanded\ch10_s007_r1_trustworthy-data-security-privacy-explainabl.jpg,assets/downloaded/ch10/text1_expanded/ch10_s007_r1_trustworthy-data-security-privacy-explainabl.jpg,ch10_s007_r1_trustworthy-data-security-privacy-explainabl.jpg,.jpg,80079,1400,900,bf55b145348d4307cc7a61a6907c73155fbea1afbf122b4a0f24f5e33f5c1add,https://www.bing.com/images/search?q=trustworthy+AI+data+security+privacy+explainable+AI+algorithm+workflow+diagram+%E6%9C%AC%E7%AB%A0%E6%A1%88%E4%BE%8B%E8%B4%AF%E7%A9%BF%E5%AF%B9%E8%B1%A1+education,https://tse1.mm.bing.net/th?q=trustworthy+AI+data+security+privacy+explainable+AI+algorithm+workflow+diagram+%E6%9C%AC%E7%AB%A0%E6%A1%88%E4%BE%8B%E8%B4%AF%E7%A9%BF%E5%AF%B9%E8%B1%A1+education&w=1400&h=900&c=7&rs=1&p=0,trustworthy AI data security privacy explainable AI algorithm workflow diagram 本章案例贯穿对象 education,unknown,unknown; copyright risk not checked,Bing thumbnail fallback; 来源和版权未核验，需人工复核后再用于正式课件。,trustworthy AI data security privacy explainable AI algorithm workflow diagram 本章案例贯穿对象 education,算法流程,flowchart,本章案例贯穿对象的教学示意图,底部横向流程图,,expanded loose mode; source and copyright not verified; opened successfully
ch10,第10章_可信AI数据安全与综合应用_100页_Marp.md,8,10.1 AI伦理、算法偏差与模型公平性,yes,7,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch10\text1_expanded\ch10_s008_r1_data-security-privacy-compliance.jpg,assets/downloaded/ch10/text1_expanded/ch10_s008_r1_data-security-privacy-compliance.jpg,ch10_s008_r1_data-security-privacy-compliance.jpg,.jpg,50521,1000,699,2f452225f7f2b407132db0e06f747836fb272880a86477f85cad50fb753ca35e,https://www.bing.com/images/search?q=10+1+AI%E4%BC%A6%E7%90%86+%E7%AE%97%E6%B3%95%E5%81%8F%E5%B7%AE%E4%B8%8E%E6%A8%A1%E5%9E%8B%E5%85%AC%E5%B9%B3%E6%80%A7+data+security+privacy+compliance+diagram,https://tse1.mm.bing.net/th?q=10+1+AI%E4%BC%A6%E7%90%86+%E7%AE%97%E6%B3%95%E5%81%8F%E5%B7%AE%E4%B8%8E%E6%A8%A1%E5%9E%8B%E5%85%AC%E5%B9%B3%E6%80%A7+data+security+privacy+compliance+diagram&w=1000&h=700&c=7&rs=1&p=0,10 1 AI伦理 算法偏差与模型公平性 data security privacy compliance diagram,unknown,unknown; copyright risk not checked,Bing thumbnail fallback; 来源和版权未核验，需人工复核后再用于正式课件。,10 1 AI伦理 算法偏差与模型公平性 data security privacy compliance diagram,安全合规案例,schematic,10.1 AI伦理、算法偏差与模型公平性的教学示意图,右侧 40% 宽度,,expanded loose mode; source and copyright not verified; opened successfully
ch10,第10章_可信AI数据安全与综合应用_100页_Marp.md,9,10.1.1 AI伦理的基本问题,yes,4,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch10\text1_expanded\ch10_s009_r1_trustworthy-data-security-privacy-explainabl.jpg,assets/downloaded/ch10/text1_expanded/ch10_s009_r1_trustworthy-data-security-privacy-explainabl.jpg,ch10_s009_r1_trustworthy-data-security-privacy-explainabl.jpg,.jpg,159640,1598,900,69fd63ab8f6a2b856eb10b35f1196520105fcc0b7c7d7e7e260ffc79a1e3f8ae,https://www.bing.com/images/search?q=trustworthy+AI+data+security+privacy+explainable+AI+10+1+1+AI%E4%BC%A6%E7%90%86%E7%9A%84%E5%9F%BA%E6%9C%AC%E9%97%AE%E9%A2%98+infographic,https://tse1.mm.bing.net/th?q=trustworthy+AI+data+security+privacy+explainable+AI+10+1+1+AI%E4%BC%A6%E7%90%86%E7%9A%84%E5%9F%BA%E6%9C%AC%E9%97%AE%E9%A2%98+infographic&w=1600&h=900&c=7&rs=1&p=0,trustworthy AI data security privacy explainable AI 10 1 1 AI伦理的基本问题 infographic,unknown,unknown; copyright risk not checked,Bing thumbnail fallback; 来源和版权未核验，需人工复核后再用于正式课件。,trustworthy AI data security privacy explainable AI 10 1 1 AI伦理的基本问题 infographic,安全合规案例,schematic,10.1.1 AI伦理的基本问题的教学示意图,右侧 40% 宽度,,expanded loose mode; source and copyright not verified; opened successfully
ch10,第10章_可信AI数据安全与综合应用_100页_Marp.md,10,材料科学中的AI伦理并非遥远问题,yes,3,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch10\text1_expanded\ch10_s010_r1_calphad-project-phase-field-phase-dft-trustw.jpg,assets/downloaded/ch10/text1_expanded/ch10_s010_r1_calphad-project-phase-field-phase-dft-trustw.jpg,ch10_s010_r1_calphad-project-phase-field-phase-dft-trustw.jpg,.jpg,65272,1000,700,ee71dfeab915d3cad347f5efcd412def2847b2ff25c59891a55fd3b0c15a6f5f,https://www.bing.com/images/search?q=CALPHAD+Project+phase-field+phase+DFT+trustworthy+data+security+privacy+fairness+trustworthy+AI+data+security+privacy+explainable+AI+simulation+diagram,https://tse1.mm.bing.net/th?q=CALPHAD+Project+phase-field+phase+DFT+trustworthy+data+security+privacy+fairness+trustworthy+AI+data+security+privacy+explainable+AI+simulation+diagram&w=1000&h=700&c=7&rs=1&p=0,CALPHAD Project phase-field phase DFT trustworthy data security privacy fairness trustworthy AI data security privacy explainable AI simulation diagram,unknown,unknown; copyright risk not checked,Bing thumbnail fallback; 来源和版权未核验，需人工复核后再用于正式课件。,CALPHAD Project phase-field phase DFT trustworthy data security privacy fairness trustworthy AI data security privacy explainable AI simulation diagram,模拟结果,simulation,材料科学中的AI伦理并非遥远问题的教学示意图,右侧 40% 宽度,,expanded loose mode; source and copyright not verified; opened successfully
ch10,第10章_可信AI数据安全与综合应用_100页_Marp.md,11,可信AI的典型属性,yes,5,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch10\text1_expanded\ch10_s011_r1_trustworthy-data-security-privacy-explainabl.jpg,assets/downloaded/ch10/text1_expanded/ch10_s011_r1_trustworthy-data-security-privacy-explainabl.jpg,ch10_s011_r1_trustworthy-data-security-privacy-explainabl.jpg,.jpg,74518,1400,899,9be714a4e8107fa0a26f90e071a5b65c508da883cd0f73d246c11f16ec78dc25,https://www.bing.com/images/search?q=trustworthy+AI+data+security+privacy+explainable+AI+data+security+privacy+compliance+diagram+%E5%8F%AF%E4%BF%A1AI%E7%9A%84%E5%85%B8%E5%9E%8B%E5%B1%9E%E6%80%A7+education,https://tse1.mm.bing.net/th?q=trustworthy+AI+data+security+privacy+explainable+AI+data+security+privacy+compliance+diagram+%E5%8F%AF%E4%BF%A1AI%E7%9A%84%E5%85%B8%E5%9E%8B%E5%B1%9E%E6%80%A7+education&w=1400&h=900&c=7&rs=1&p=0,trustworthy AI data security privacy explainable AI data security privacy compliance diagram 可信AI的典型属性 education,unknown,unknown; copyright risk not checked,Bing thumbnail fallback; 来源和版权未核验，需人工复核后再用于正式课件。,trustworthy AI data security privacy explainable AI data security privacy compliance diagram 可信AI的典型属性 education,安全合规案例,schematic,可信AI的典型属性的教学示意图,右侧 40% 宽度,,expanded loose mode; source and copyright not verified; opened successfully
ch10,第10章_可信AI数据安全与综合应用_100页_Marp.md,12,10.1.2 算法偏差的定义,yes,1,downloaded,E:\machine_learning\markdown\AI-BigData-Course-Add-Figs-0\assets\downloaded\ch10\text1_expanded\ch10_s012_r1_trustworthy-data-security-privacy-fairness-e.jpg,assets/downloaded/ch10/text1_expanded/ch10_s012_r1_trustworthy-data-security-privacy-fairness-e.jpg,ch10_s012_r1_trustworthy-data-security-privacy-fairness-e.jpg,.jpg,62207,1399,900,6e7f5292cf399e19e4792ef63d40accdf6e4690f7cb5e37862298faf855c027d,https://www.bing.com/images/search?q=trustworthy+AI+data+security+privacy+fairness+explainability+workflow+10.1.2+%E7%AE%97%E6%B3%95%E5%81%8F%E5%B7%AE%E7%9A%84%E5%AE%9A%E4%B9%89+concept+diagram+open+educational+resource+10+1+2+%E7%AE%97%E6%B3%95%E5%81%8F%E5%B7%AE%E7%9A%84%E5%AE%9A%E4%B9%89,https://tse1.mm.bing.net/th?q=trustworthy+AI+data+security+privacy+fairness+explainability+workflow+10.1.2+%E7%AE%97%E6%B3%95%E5%81%8F%E5%B7%AE%E7%9A%84%E5%AE%9A%E4%B9%89+concept+diagram+open+educational+resource+10+1+2+%E7%AE%97%E6%B3%95%E5%81%8F%E5%B7%AE%E7%9A%84%E5%AE%9A%E4%B9%89&w=1400&h=900&c=7&rs=1&p=0,trustworthy AI data security privacy fairness explainability workflow 10.1.2 算法偏差的定义 concept diagram open educational resource 10 1 2 算法偏差的定义,unknown,unknown; copyright risk not checked,Bing thumbnail fallback; 来源和版权未核验，需人工复核后再用于正式课件。,trustworthy AI data security privacy fairness explainability workflow 10.1.2 算法偏差的定义 concept diagram open educational resource 10 1 2 算法偏差的定义,概念示意,schematic,10.1.2 算法偏差的定义的教学示意图,右侧 35% 宽度,,expanded loose mode; source and copyright not verified; opened successfully
