chapter,md_file,slide_id,slide_title,need_image,candidate_rank,download_status,local_path,relative_path,file_name,file_ext,file_size_bytes,width_px,height_px,sha256,source_page_url,direct_image_url,source_title,source_author,source_license,attribution_text,search_query_used,image_role,image_type,caption_zh,layout_hint,duplicate_of,quality_notes
ch05,第5章_深度学习多模态AI与显微组织识别_100页_Marp.md,1,第5章 深度学习、多模态AI与显微组织识别,yes,1,not_found,,,,,,,,,,,,,,,neural network architecture Transformer attention mechanism CNN diagram deep learning microstructure recognition CNN architecture | 神经网络 Transformer 注意力机制 CNN 架构图 第5章 深度学习、多模态AI与显微组织识别 | CNN RNN Transformer embedding deep learning microstructure recognition CNN architecture diagram,算法流程,algorithm_diagram,第5章 深度学习、多模态AI与显微组织识别的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch05,第5章_深度学习多模态AI与显微组织识别_100页_Marp.md,4,本章知识梯度,yes,1,not_found,,,,,,,,,,,,,,,neural network architecture Transformer attention mechanism CNN diagram deep learning microstructure recognition CNN architecture | 神经网络 Transformer 注意力机制 CNN 架构图 本章知识梯度 | CNN RNN Transformer embedding deep learning microstructure recognition CNN architecture diagram,算法流程,algorithm_diagram,本章知识梯度的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch05,第5章_深度学习多模态AI与显微组织识别_100页_Marp.md,5,从传统机器学习到深度学习,yes,1,not_found,,,,,,,,,,,,,,,machine learning workflow feature engineering model training evaluation diagram deep learning microstructure recognition CNN architecture | 机器学习流程 特征工程 模型训练 评估 示意图 从传统机器学习到深度学习 | SVM KNN deep learning microstructure recognition CNN architecture diagram,算法流程,flowchart,从传统机器学习到深度学习的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch05,第5章_深度学习多模态AI与显微组织识别_100页_Marp.md,6,材料显微组织识别的基本链条,yes,1,not_found,,,,,,,,,,,,,,,neural network architecture Transformer attention mechanism CNN diagram deep learning microstructure recognition CNN architecture | 神经网络 Transformer 注意力机制 CNN 架构图 材料显微组织识别的基本链条 | CNN RNN Transformer embedding deep learning microstructure recognition CNN architecture diagram,算法流程,algorithm_diagram,材料显微组织识别的基本链条的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch05,第5章_深度学习多模态AI与显微组织识别_100页_Marp.md,7,5.1 深度学习概述与神经网络基本结构,yes,1,not_found,,,,,,,,,,,,,,,neural network architecture Transformer attention mechanism CNN diagram deep learning microstructure recognition CNN architecture | 神经网络 Transformer 注意力机制 CNN 架构图 5.1 深度学习概述与神经网络基本结构 | CNN RNN Transformer embedding deep learning microstructure recognition CNN architecture diagram,算法流程,algorithm_diagram,5.1 深度学习概述与神经网络基本结构的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch05,第5章_深度学习多模态AI与显微组织识别_100页_Marp.md,8,5.1 的学习任务,yes,1,not_found,,,,,,,,,,,,,,,machine learning workflow feature engineering model training evaluation diagram deep learning microstructure recognition CNN architecture | 机器学习流程 特征工程 模型训练 评估 示意图 5.1 的学习任务 | SVM KNN deep learning microstructure recognition CNN architecture diagram,算法流程,flowchart,5.1 的学习任务的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch05,第5章_深度学习多模态AI与显微组织识别_100页_Marp.md,9,深度学习的基本定义,yes,1,not_found,,,,,,,,,,,,,,,materials microstructure recognition microscopy image deep learning microstructure recognition CNN architecture | 材料显微组织识别 图像 深度学习的基本定义 | microstructure SEM EBSD deep learning microstructure recognition CNN architecture diagram,材料组织,microscopy,深度学习的基本定义的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch05,第5章_深度学习多模态AI与显微组织识别_100页_Marp.md,10,从输入到输出：函数近似观点,yes,1,not_found,,,,,,,,,,,,,,,machine learning workflow feature engineering model training evaluation diagram deep learning microstructure recognition CNN architecture | 机器学习流程 特征工程 模型训练 评估 示意图 从输入到输出：函数近似观点 | SVM KNN deep learning microstructure recognition CNN architecture diagram,算法流程,flowchart,从输入到输出：函数近似观点的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch05,第5章_深度学习多模态AI与显微组织识别_100页_Marp.md,12,激活函数的作用,yes,1,not_found,,,,,,,,,,,,,,,machine learning workflow feature engineering model training evaluation diagram deep learning microstructure recognition CNN architecture | 机器学习流程 特征工程 模型训练 评估 示意图 激活函数的作用 | SVM KNN deep learning microstructure recognition CNN architecture diagram,算法流程,flowchart,激活函数的作用的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch05,第5章_深度学习多模态AI与显微组织识别_100页_Marp.md,13,层与网络：从局部计算到整体映射,yes,1,not_found,,,,,,,,,,,,,,,deep learning microstructure recognition CNN architecture 层与网络：从局部计算到整体映射 concept diagram open educational resource | 深度学习 多模态AI 显微组织识别 层与网络：从局部计算到整体映射 教学示意图 | deep learning microstructure recognition CNN architecture concept diagram diagram,概念示意,schematic,层与网络：从局部计算到整体映射的教学示意图,右侧 35% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch05,第5章_深度学习多模态AI与显微组织识别_100页_Marp.md,14,前向传播,yes,1,not_found,,,,,,,,,,,,,,,materials microstructure recognition microscopy image deep learning microstructure recognition CNN architecture | 材料显微组织识别 图像 前向传播 | microstructure SEM EBSD deep learning microstructure recognition CNN architecture diagram,材料组织,microscopy,前向传播的教学示意图,右侧 40% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
ch05,第5章_深度学习多模态AI与显微组织识别_100页_Marp.md,15,Softmax 与类别概率,yes,1,not_found,,,,,,,,,,,,,,,Bayes theorem diagram probability prior posterior likelihood deep learning microstructure recognition CNN architecture | 贝叶斯定理 先验 后验 概率图示 Softmax 与类别概率 | Bayes deep learning microstructure recognition CNN architecture diagram,算法流程,algorithm_diagram,Softmax 与类别概率的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch05,第5章_深度学习多模态AI与显微组织识别_100页_Marp.md,16,损失函数：衡量预测错误,yes,1,not_found,,,,,,,,,,,,,,,machine learning workflow feature engineering model training evaluation diagram deep learning microstructure recognition CNN architecture | 机器学习流程 特征工程 模型训练 评估 示意图 损失函数：衡量预测错误 | SVM KNN deep learning microstructure recognition CNN architecture diagram,算法流程,flowchart,损失函数：衡量预测错误的教学示意图,底部横向流程图,,no suitable Wikimedia Commons image found after 3 query attempts
ch05,第5章_深度学习多模态AI与显微组织识别_100页_Marp.md,17,梯度下降：模型如何学习,yes,1,not_found,,,,,,,,,,,,,,,deep learning microstructure recognition CNN architecture 梯度下降：模型如何学习 concept diagram open educational resource | 深度学习 多模态AI 显微组织识别 梯度下降：模型如何学习 教学示意图 | deep learning microstructure recognition CNN architecture concept diagram diagram,概念示意,schematic,梯度下降：模型如何学习的教学示意图,右侧 35% 宽度,,no suitable Wikimedia Commons image found after 3 query attempts
