md_file,slide_id,slide_title,need_image,image_type,layout,image_path,alt,caption,width,enabled,source,license,notes
第1章_人工智能大数据与材料科学概论_100页_Marp.md,1,第1章人工智能、大数据与材料科学概论,no,,,,第1章人工智能、大数据与材料科学概论,,720,no,,course-generated,封面页不建议再插图
第1章_人工智能大数据与材料科学概论_100页_Marp.md,2,本章学习目标,no,,,,本章学习目标,,720,no,,course-generated,学习目标页以文字为主
第1章_人工智能大数据与材料科学概论_100页_Marp.md,3,本章知识主线,yes,diagram,center,assets/generated/ch01/ch01_slide_003_diagram.svg,本章概念地图,,440,yes,generated vector infographic,course-generated,概念层级较多，适合概念图
第1章_人工智能大数据与材料科学概论_100页_Marp.md,4,目录,no,,,,目录,,720,no,,course-generated,目录页不需要插图
第1章_人工智能大数据与材料科学概论_100页_Marp.md,5,课堂导入：一个材料研发问题,yes,workflow,center,assets/generated/ch01/ch01_slide_005_workflow.svg,材料研发AI流程,,440,yes,generated vector infographic,course-generated,对比传统与AI路径，适合流程图
第1章_人工智能大数据与材料科学概论_100页_Marp.md,6,从材料问题到 AI 问题,no,,,,从材料问题到 AI 问题,,720,no,,course-generated,该页以公式说明为主，暂不插图
第1章_人工智能大数据与材料科学概论_100页_Marp.md,7,本章关键概念关系,no,,,,本章关键概念关系,,720,no,,course-generated,该页已有表格，暂不插图
第1章_人工智能大数据与材料科学概论_100页_Marp.md,8,1.1 人工智能的概念、发展与主要学派,no,,,,1.1 人工智能的概念、发展与主要学派,,720,no,,course-generated,章节过渡页，暂不插图
第1章_人工智能大数据与材料科学概论_100页_Marp.md,9,智能的基本含义,no,,,,智能的基本含义,,720,no,,course-generated,文字说明较完整，暂不插图
第1章_人工智能大数据与材料科学概论_100页_Marp.md,10,从人类智能到机器智能,no,,,,从人类智能到机器智能,,720,no,,course-generated,该页已有表格，暂不插图
第1章_人工智能大数据与材料科学概论_100页_Marp.md,11,人工智能的基本定义,no,,,,人工智能的基本定义,,720,no,,course-generated,文字说明较完整，暂不插图
第1章_人工智能大数据与材料科学概论_100页_Marp.md,12,AI 不是单一技术,yes,diagram,center,assets/generated/ch01/ch01_slide_012_diagram.svg,AI技术谱系,,440,yes,generated vector infographic,course-generated,技术分支多，结构图更清晰
第1章_人工智能大数据与材料科学概论_100页_Marp.md,13,弱人工智能、强人工智能与超人工智能,no,,,,弱人工智能、强人工智能与超人工智能,,720,no,,course-generated,该页已有表格，暂不插图
第1章_人工智能大数据与材料科学概论_100页_Marp.md,14,图灵测试与行为主义视角,no,,,,图灵测试与行为主义视角,,720,no,,course-generated,文字说明较完整，暂不插图
第1章_人工智能大数据与材料科学概论_100页_Marp.md,15,人工智能发展简史：孕育阶段,no,,,,人工智能发展简史：孕育阶段,,720,no,,course-generated,文字说明较完整，暂不插图
第1章_人工智能大数据与材料科学概论_100页_Marp.md,16,人工智能发展简史：形成阶段,no,,,,人工智能发展简史：形成阶段,,720,no,,course-generated,文字说明较完整，暂不插图
第1章_人工智能大数据与材料科学概论_100页_Marp.md,17,人工智能发展简史：起伏与复兴,no,,,,人工智能发展简史：起伏与复兴,,720,no,,course-generated,文字说明较完整，暂不插图
第1章_人工智能大数据与材料科学概论_100页_Marp.md,18,人工智能的三大主要学派,no,,,,人工智能的三大主要学派,,720,no,,course-generated,该页已有表格，暂不插图
第1章_人工智能大数据与材料科学概论_100页_Marp.md,19,符号主义：知识、规则与推理,yes,diagram,right,assets/generated/ch01/ch01_slide_019_diagram.svg,符号推理规则图,,720,yes,generated vector infographic,course-generated,规则推理较抽象，图示更直观
第1章_人工智能大数据与材料科学概论_100页_Marp.md,20,连接主义：从数据中学习表示,yes,diagram,right,assets/generated/ch01/ch01_slide_020_diagram.svg,神经网络连接图,,720,yes,generated vector infographic,course-generated,连接主义需展示网络结构
第1章_人工智能大数据与材料科学概论_100页_Marp.md,21,行为主义：环境、行动与反馈,yes,workflow,right,assets/generated/ch01/ch01_slide_021_workflow.svg,强化学习反馈环,,720,yes,generated vector infographic,course-generated,状态行动反馈关系适合流程图
第1章_人工智能大数据与材料科学概论_100页_Marp.md,22,三大学派的互补关系,no,,,,三大学派的互补关系,,720,no,,course-generated,文字说明较完整，暂不插图
