md_file,slide_id,slide_title,need_image,image_type,query_cn,query_en,layout,reason,priority,avoid,source_preference,manual_review
第3章_贝叶斯定理与概率思维_100页_Marp.md,1,第3章 贝叶斯定理与概率思维,no,,,,,封面页不建议再插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,2,目录,no,,,,,目录页不需要插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,3,本章学习目标,no,,,,,学习目标页以文字为主,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,4,为什么材料科学需要概率思维？,yes,concept,材料概率不确定性,materials uncertainty probabilistic thinking,right,材料不确定性需要视觉引入,high,避免空泛AI科技背景,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,5,本章知识地图,yes,diagram,贝叶斯知识地图,Bayesian probability concept map,center,本章概念链条适合知识图,medium,避免复杂公式和错误文字,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,6,先给出一个直观例子,yes,workflow,裂纹检测贝叶斯,Bayesian defect detection workflow,center,案例包含先验证据更新流程,high,避免真实检测论文图未授权,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,7,本章的基本符号,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,8,3.1 条件概率、全概率公式与贝叶斯定理,no,,,,,章节过渡页，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,9,3.1.1 从随机试验到样本空间,yes,concept,样本空间事件图,sample space event diagram,right,样本空间概念适合集合图,medium,避免过度复杂概率符号,wikimedia,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,10,概率的三个基本性质,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,11,事件关系：交、并、补,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,12,3.1.2 联合概率：两个事件同时发生,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,13,3.1.3 条件概率：已知一个事件后再判断,yes,concept,条件概率维恩图,conditional probability Venn diagram,right,条件概率抽象，图示更直观,medium,避免符号标注错误,wikimedia,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,14,条件概率的教学重点,yes,diagram,反向条件概率,conditional probability inversion diagram,center,易混概念需对比图说明,high,避免把两个条件概率画成相同,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,15,3.1.4 乘法公式,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,16,独立性：是否互相影响？,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,17,3.1.5 全概率公式：把复杂事件分解,yes,diagram,全概率划分图,law of total probability partition,center,样本空间划分适合示意图,high,避免错误集合划分,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,18,全概率公式的材料解释,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,19,3.1.6 贝叶斯定理：反向概率更新,yes,diagram,贝叶斯更新结构,Bayes theorem update diagram,center,贝叶斯公式关系适合结构图,high,避免复杂公式和错误文字,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,20,贝叶斯定理的四个组成部分,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,21,例1：缺陷检测中的基准概率,yes,chart,基准概率误报图,base rate false positive chart,right,低基准概率需频数图辅助,high,避免医学化图示脱离材料,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,22,例1计算：阳性不等于一定有裂纹,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,23,用自然频数解释贝叶斯定理,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,24,课堂讨论：为什么人们容易误判？,no,,,,,课堂讨论页以文字分析为主,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,25,3.1 小结,no,,,,,小结复习页不建议插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,26,3.2 先验、似然、后验与证据,no,,,,,章节过渡页，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,27,3.2.1 从事件假设到模型参数,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,28,3.2.2 数据集记号,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,29,3.2.3 贝叶斯参数推断公式,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,30,参数贝叶斯公式的解释,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,31,3.2.4 先验：把已有知识写成概率分布,yes,chart,先验分布曲线,Bayesian prior distribution curve,right,先验分布需曲线直观展示,medium,避免过强装饰和错误坐标,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,32,常见先验分布,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,33,3.2.5 似然：数据如何支持参数,yes,chart,似然函数曲线,likelihood function curve,right,似然概念适合曲线说明,medium,避免将似然误作概率密度,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,34,例2：正态误差下的回归似然,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,35,对数似然与平方误差,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,36,3.2.6 证据：为什么需要归一化？,yes,concept,证据归一化面积,Bayesian evidence normalization area,right,归一化含义需面积图解释,medium,避免错误积分标注,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,37,3.2.7 后验：更新后的完整认识,yes,chart,后验分布曲线,posterior distribution curve,right,后验不确定性适合分布图,medium,避免先验后验颜色混乱,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,38,3.2.8 后验预测分布,yes,diagram,后验预测分布,posterior predictive distribution,center,预测分布包含不确定性层级,high,避免把参数区间和预测区间混淆,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,39,贝叶斯流程图,yes,workflow,贝叶斯建模流程,Bayesian modeling workflow,center,该页本身是流程主题,high,避免错误箭头因果关系,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,40,3.2 小结,no,,,,,小结复习页不建议插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,41,3.3 贝叶斯思想：从经验知识到数据更新,no,,,,,章节过渡页，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,42,3.3.1 频率观点与贝叶斯观点,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,43,3.3.2 贝叶斯更新的核心思想,yes,workflow,贝叶斯顺序更新,Bayesian sequential updating workflow,center,更新过程适合流程图表达,high,避免把旧先验和旧后验混淆,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,44,3.3.3 顺序更新：逐批实验的自然框架,yes,workflow,逐批实验更新,sequential experiment Bayesian update,center,逐批实验更新适合闭环图,high,避免与普通机器学习流程混淆,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,45,例3：Beta-Binomial 缺陷率更新,yes,chart,Beta二项更新,Beta binomial update distribution,right,Beta分布更新适合曲线展示,high,避免错误参数标注,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,46,Beta-Binomial 的后验更新,yes,chart,缺陷率后验曲线,defect rate posterior distribution,right,后验均值和区间需图示,medium,避免将缺陷率超出0到1,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,47,Python案例：缺陷率贝叶斯更新,no,,,,,该页为代码页，插图会造成拥挤,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,48,代码结果如何解释？,no,,,,,课堂讨论页以文字分析为主,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,49,3.3.4 先验强度：经验影响有多大？,yes,chart,先验强度对比,prior strength comparison,right,先验强弱可由曲线宽度说明,medium,避免错误表达先验强度,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,50,3.3.5 先验敏感性分析,yes,chart,先验敏感性分析,prior sensitivity analysis curves,center,多组先验对比需要曲线图,medium,避免曲线和结论不对应,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,51,3.3.6 贝叶斯不是“用经验压倒数据”,yes,concept,先验数据平衡,prior data balance concept,right,强调先验不能压倒数据,medium,避免把先验画成绝对真理,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,52,3.3.7 材料研究中的经验知识类型,no,,,,,该页已有表格，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,53,3.3.8 材料案例：合金强度经验先验,yes,diagram,合金强度先验,alloy strength prior constraint,right,材料经验先验需领域示意,medium,避免不真实材料机制图,generated,yes
第3章_贝叶斯定理与概率思维_100页_Marp.md,54,3.3 小结,no,,,,,小结复习页不建议插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,55,3.4 最大似然估计与最大后验估计,no,,,,,章节过渡页，暂不插图,low,not needed,,no
第3章_贝叶斯定理与概率思维_100页_Marp.md,56,3.4.1 为什么需要点估计？,no,,,,,该页以公式推导为主，暂不插图,low,not needed,,no
